Macs,IPs,ACKs
00:10:49:1a:47:ea,10.191.239.100,5
04:0c:ce:1b:43:59,10.171.219.55,3
04:0c:ce:1b:49:77,10.141.223.52,2
c4:34:6b:58:72:7e,10.11.126.118,2
6c:f3:7f:ca:30:c1,10.191.126.146,5
00:10:49:23:d1:85,10.192.239.180,5
00:10:49:1a:4b:e4,10.192.239.198,5
d0:67:e5:0d:18:7f,10.192.127.249,7
c8:bc:c8:b8:5d:d2,10.191.222.236,5
00:10:49:1b:d5:08,10.192.239.203,5
10:9a:dd:af:ee:83,10.124.223.232,2
00:24:6c:c2:9e:09,10.2.240.127,5
00:10:49:17:8a:1e,10.191.239.176,5
c8:bc:c8:bf:32:87,10.147.220.20,2
04:0c:ce:1b:46:50,10.142.222.168,2
00:23:12:25:62:20,10.126.223.102,2
00:19:d1:e8:b0:2a,10.191.117.189,5
00:10:49:1a:38:e2,10.191.239.237,5
00:23:12:25:3a:fd,10.125.222.5,2
04:0c:ce:1b:3a:ba,10.143.222.61,3
04:e5:36:04:50:77,10.191.216.86,6
00:24:6c:c2:9d:fe,10.2.240.165,5
00:10:49:1c:25:7d,10.191.239.158,5
6c:f3:7f:ca:30:95,10.192.125.247,5
00:19:d1:5b:31:9b,10.192.127.144,5
d8:c7:c8:c1:ab:6d,10.191.111.104,5
00:10:49:17:8a:74,10.191.239.118,5
00:10:49:1a:4a:52,10.191.239.135,5
04:0c:ce:1b:46:5f,10.141.223.51,2
00:10:49:17:8b:83,10.191.239.93,5
00:10:49:1a:4b:7b,10.192.239.247,5
f0:d1:a9:10:95:56,10.146.192.11,1
00:10:49:1a:38:ae,10.191.239.103,5
04:0c:ce:1b:40:7f,10.171.219.103,2
04:0c:ce:1b:43:88,10.146.222.149,2
00:11:85:fa:40:aa,10.192.79.2,5
c8:f6:50:cd:5a:d0,10.147.219.15,5
00:23:12:1b:eb:81,10.113.223.79,2
00:23:12:25:49:c5,10.172.221.149,2
04:0c:ce:1b:3b:38,10.173.220.78,3
b0:34:95:58:de:73,10.191.212.238,5
04:0c:ce:1b:46:4e,10.172.221.50,2
00:1f:5b:c4:43:fe,10.171.221.211,2
00:1f:f3:cf:a7:f2,10.171.98.247,2
10:9a:dd:58:91:82,10.173.123.202,3
c8:bc:c8:c8:05:59,10.173.223.56,3
04:0c:ce:1b:43:20,10.106.221.5,2
04:0c:ce:1b:3b:e2,10.143.222.44,5
00:19:d1:2f:78:52,10.125.127.176,2
c8:bc:c8:c0:98:db,10.141.218.147,2
00:23:12:25:4a:e0,10.120.220.27,2
04:0c:ce:1b:48:e5,10.142.219.218,2
04:0c:ce:1b:3f:b6,10.142.222.55,2
04:0c:ce:1b:41:5d,10.142.221.96,3
00:10:49:1a:4b:87,10.191.239.193,5
04:0c:ce:1b:47:23,10.141.223.46,2
c8:bc:c8:c5:f9:22,10.191.222.197,9
78:3a:84:c5:3e:b2,10.192.197.193,5
c8:f6:50:a6:98:5b,10.192.197.185,5
1c:e6:2b:c5:fd:6d,10.191.192.31,5
04:0c:ce:1b:3b:68,10.126.221.146,2
10:9a:dd:53:dd:02,10.111.127.218,2
00:10:49:16:d1:4c,10.191.239.63,5
00:10:49:17:93:a5,10.191.239.21,5
00:1e:52:c8:14:be,10.123.221.45,1
10:9a:dd:af:ec:d4,10.119.223.166,2
00:23:12:25:48:0c,10.173.215.130,2
c8:bc:c8:c8:07:87,10.191.217.210,7
2c:f0:ee:1e:7f:b6,10.110.221.63,3
c8:bc:c8:b8:8f:1f,10.111.223.56,2
00:10:49:17:88:c8,10.191.239.222,5
00:10:49:1b:d4:f6,10.192.239.196,5
00:23:12:25:65:65,10.172.217.133,2
00:10:49:16:d1:8e,10.191.239.168,5
00:22:41:fb:ba:41,10.119.221.35,2
00:19:d1:e8:ad:b8,10.103.126.255,3
68:5b:35:be:4a:38,10.11.126.114,2
00:10:49:1a:4b:95,10.192.239.253,5
00:10:49:17:94:18,10.2.228.135,5
00:10:49:1a:4b:e6,10.192.239.187,5
04:0c:ce:1b:46:64,10.126.221.194,2
04:0c:ce:1b:49:42,10.126.221.202,2
00:23:12:25:49:1c,10.109.221.170,2
1c:c1:de:2e:e2:4d,10.192.192.10,5
78:fd:94:3e:d8:de,10.191.156.103,5
00:10:49:17:8a:f6,10.191.239.133,5
78:fd:94:3b:b3:b0,10.101.221.145,2
00:10:49:16:d0:10,10.192.239.178,5
04:0c:ce:1b:3f:4d,10.101.223.68,2
c8:f6:50:61:b0:43,10.110.221.255,3
c8:bc:c8:b8:8f:39,10.125.221.245,2
04:0c:ce:1b:3e:d1,10.103.223.83,2
00:10:49:17:8b:64,10.191.239.252,5
00:19:d1:58:e5:0c,10.192.110.155,5
00:11:0a:ec:0c:ac,10.191.79.49,5
6c:f3:7f:ca:30:b6,10.191.126.143,5
00:10:49:17:8a:83,10.191.239.240,5
00:10:49:1c:25:60,10.191.239.134,5
00:10:49:18:c7:09,10.191.239.152,5
44:1e:a1:35:2c:40,10.191.79.21,5
28:80:23:0f:15:df,10.191.79.11,5
00:26:b0:e8:3b:f0,10.192.127.73,5
00:10:49:1c:26:0f,10.191.239.246,5
c4:34:6b:5b:ae:d4,10.192.109.183,7
00:10:49:17:88:c3,10.191.239.74,5
c8:bc:c8:bf:34:f1,10.110.221.83,2
c8:bc:c8:bf:92:60,10.106.221.7,2
04:0c:ce:1b:49:44,10.144.219.215,2
00:17:f2:3a:1c:a6,10.191.183.253,5
c8:bc:c8:b8:6c:0c,10.119.222.196,2
68:5b:35:be:4b:18,10.1.245.85,3
10:9a:dd:54:ec:83,10.191.102.252,3
b4:18:d1:eb:44:29,10.191.206.125,3
04:0c:ce:1b:3b:52,10.101.223.62,2
04:0c:ce:1b:47:6c,10.101.223.31,2
6c:f3:7f:ca:31:11,10.192.125.239,5
44:2a:60:db:a6:c5,10.101.222.20,2
6c:f3:7f:ca:30:ab,10.191.125.109,5
00:10:49:1a:46:d9,10.192.239.242,5
00:10:49:1c:28:59,10.192.239.244,5
00:10:49:1a:47:b3,10.192.239.248,5
00:10:49:19:95:89,10.192.239.226,5
00:10:49:1a:45:fb,10.192.239.251,5
00:23:12:25:66:40,10.191.174.80,5
00:24:6c:c9:0f:45,10.192.122.192,5
2c:76:8a:3f:d2:92,10.192.79.13,5
00:10:49:16:d1:e5,10.191.239.224,5
00:10:49:1c:28:28,10.192.239.211,5
00:10:49:1b:d5:06,10.192.239.222,5
00:10:49:1c:25:a3,10.192.239.175,5
00:10:49:1b:d5:2b,10.192.239.235,5
04:0c:ce:1b:3c:42,10.143.222.72,2
5c:96:9d:90:06:73,10.142.222.155,2
00:10:49:1b:d5:a7,10.192.239.230,5
c8:bc:c8:96:23:ef,10.173.123.203,2
c8:bc:c8:bf:c0:87,10.173.223.53,2
00:10:49:19:95:87,10.192.239.223,5
00:23:12:25:5f:27,10.120.220.44,2
00:10:49:17:8b:81,10.191.239.144,5
04:0c:ce:1b:2b:8f,10.173.220.70,4
00:10:49:1b:db:24,10.192.239.190,5
00:24:6c:ca:c9:41,10.2.250.84,5
04:0c:ce:1b:47:94,10.126.222.0,2
04:0c:ce:1b:47:14,10.143.222.47,2
00:24:36:c2:a7:02,10.191.155.137,5
44:2a:60:db:a2:c5,10.173.223.12,4
00:10:49:1b:d4:fd,10.192.239.224,5
00:10:49:1a:46:cd,10.192.239.243,5
04:0c:ce:1b:4c:02,10.173.220.76,2
04:0c:ce:1b:40:34,10.173.220.97,2
d8:30:62:64:64:87,10.146.223.27,2
00:23:12:25:5f:7f,10.122.223.195,2
00:10:49:1a:4b:6f,10.192.239.209,5
00:10:49:29:47:85,10.192.239.177,5
00:10:49:1c:26:d2,10.192.239.182,5
00:10:49:1b:d5:a8,10.192.239.185,5
00:23:12:25:5f:c7,10.115.221.3,2
00:23:12:25:4c:7e,10.122.223.31,2
c8:bc:c8:bc:33:81,10.147.220.21,2
70:cd:60:ff:0b:3d,10.173.223.55,2
04:0c:ce:1b:49:d6,10.110.222.146,2
c8:f6:50:ea:d3:b2,10.191.170.8,4
00:23:24:26:74:71,10.171.96.221,2
04:0c:ce:1b:42:95,10.126.221.220,2
d8:30:62:64:4d:5f,10.146.223.220,2
c8:bc:c8:c8:07:71,10.110.221.85,2
04:0c:ce:1b:46:22,10.173.220.170,2
c8:bc:c8:c0:9d:8c,10.110.223.217,2
04:0c:ce:1b:49:1d,10.124.223.99,2
c8:bc:c8:b8:8f:48,10.147.222.30,2
04:0c:ce:1b:3d:4b,10.126.221.200,2
04:0c:ce:1b:3f:0b,10.173.220.83,2
00:10:49:17:98:f7,10.191.239.161,5
00:23:12:25:44:b1,10.142.220.37,2
00:23:7d:51:02:70,10.191.127.249,5
80:1f:02:5c:4d:3a,10.191.179.241,8
04:0c:ce:1b:3f:b2,10.110.222.168,2
04:0c:ce:1b:46:45,10.104.223.50,2
00:10:49:17:8a:82,10.191.239.241,5
00:10:49:23:ed:5c,10.191.239.72,5
c8:bc:c8:bc:32:09,10.119.220.251,5
c8:bc:c8:c0:9d:a7,10.119.223.74,2
b0:10:41:17:76:6f,10.146.221.28,1
04:0c:ce:1b:48:d2,10.147.221.166,3
c8:bc:c8:bf:dc:02,10.126.218.138,2
00:10:49:23:ec:d0,10.191.239.80,5
04:0c:ce:1b:3f:a6,10.126.221.225,2
78:3a:84:c7:fb:a5,10.120.219.231,10
a4:d1:d2:ab:28:f8,10.191.155.218,5
c8:f6:50:a1:9f:44,10.120.219.228,4
c8:f6:50:a1:de:dd,10.120.220.198,4
00:23:12:25:4a:bf,10.113.223.77,2
c8:f6:50:a2:b4:af,10.101.221.140,5
c8:bc:c8:b9:80:16,10.119.222.197,2
00:22:41:fc:a2:29,10.114.222.46,2
c8:bc:c8:bf:7f:7c,10.173.218.57,2
04:0c:ce:1b:44:87,10.142.222.165,2
04:0c:ce:1b:41:40,10.142.222.181,3
04:0c:ce:1b:49:1c,10.126.221.232,2
6c:f3:7f:ca:31:19,10.192.126.0,5
04:0c:ce:1b:3f:72,10.173.220.63,2
04:0c:ce:1b:3a:d9,10.143.221.169,5
04:0c:ce:1b:39:a7,10.119.222.203,2
04:0c:ce:1b:3e:50,10.119.222.212,2
c8:bc:c8:bf:30:39,10.191.219.87,8
00:10:49:13:c3:4b,10.191.239.214,5
00:10:49:1a:4b:69,10.191.239.199,5
e4:ce:8f:5e:9a:a6,10.191.214.158,5
c8:bc:c8:b8:8f:f0,10.191.222.23,5
a8:bb:cf:21:e0:f2,10.110.222.111,2
8c:dc:d4:61:ae:93,10.2.79.1,5
c8:bc:c8:bf:46:45,10.120.220.143,6
00:10:49:17:8b:5f,10.191.239.189,5
00:24:6c:c2:9e:10,10.2.241.219,5
00:10:49:15:7f:64,10.191.239.64,5
00:10:49:17:8a:f9,10.191.239.244,5
00:10:49:17:93:df,10.191.239.139,5
04:0c:ce:1b:45:81,10.147.221.103,2
00:10:49:16:d1:ed,10.191.239.169,5
00:10:49:1c:28:3d,10.192.239.241,5
c8:bc:c8:bf:37:48,10.120.220.138,2
00:10:49:17:94:e5,10.191.239.73,5
00:24:6c:ca:c5:ab,10.191.127.244,5
04:0c:ce:1b:3b:d2,10.173.220.222,2
70:cd:60:29:71:2e,10.191.126.113,4
10:9a:dd:ad:34:83,10.191.217.247,3
c8:bc:c8:bf:32:70,10.191.222.31,3
c8:bc:c8:bf:32:7a,10.110.223.192,2
10:9a:dd:54:e3:48,10.132.127.254,3
90:68:c3:0b:6f:6e,10.192.198.229,5
c8:bc:c8:bf:44:5b,10.106.220.240,2
a4:67:06:40:0d:60,10.191.223.229,5
78:3a:84:c3:fb:4a,10.120.219.240,3
c8:bc:c8:c2:79:16,10.106.221.8,2
70:cd:60:ff:0b:4c,10.173.222.175,4
04:0c:ce:1b:38:7f,10.110.222.249,1
04:0c:ce:1b:46:2e,10.171.219.61,2
04:0c:ce:1b:47:03,10.142.222.96,2
c8:f6:50:a7:2d:4e,10.192.197.195,5
78:3a:84:c5:d7:2b,10.192.197.189,5
04:0c:ce:1b:3d:af,10.147.221.93,2
c8:2a:14:0f:6c:cf,10.173.126.94,2
00:23:12:25:5f:d8,10.115.220.73,2
44:2a:60:db:a7:c6,10.173.223.27,2
04:0c:ce:1b:3a:1e,10.145.222.17,2
04:0c:ce:1b:40:9b,10.173.220.101,2
04:0c:ce:1b:3f:7c,10.173.220.82,2
c8:bc:c8:bf:c2:3b,10.145.219.210,2
04:0c:ce:1b:41:de,10.141.223.43,2
10:9a:dd:b0:05:7a,10.123.223.209,2
04:0c:ce:1b:45:66,10.142.222.163,2
04:0c:ce:1b:47:46,10.143.222.42,5
c8:bc:c8:bf:b4:01,10.173.215.175,2
00:19:d1:2f:77:74,10.192.110.212,8
d8:50:e6:77:5f:5e,10.191.149.131,5
2c:f0:ee:21:86:f2,10.124.222.72,1
04:0c:ce:1b:41:d1,10.143.222.68,2
00:c6:10:4e:46:f5,10.191.149.41,3
2c:f0:ee:1d:41:22,10.124.222.64,1
2c:f0:ee:1e:92:d4,10.124.222.76,1
2c:f0:ee:21:e2:2e,10.124.222.44,1
2c:f0:ee:21:d8:b8,10.124.222.73,1
2c:f0:ee:21:52:b2,10.124.222.40,1
2c:f0:ee:1e:58:2c,10.124.222.65,1
2c:f0:ee:1e:a1:62,10.124.222.19,1
2c:f0:ee:21:e2:1a,10.124.222.47,1
04:0c:ce:1b:3a:aa,10.126.221.229,2
78:3a:84:c8:20:6a,10.192.197.182,5
00:23:12:25:64:d1,10.120.220.48,2
04:0c:ce:1b:3e:3a,10.173.220.95,2
04:0c:ce:1b:51:5c,10.142.219.223,2
2c:f0:ee:1e:4b:32,10.124.222.71,1
04:0c:ce:1b:3c:ee,10.173.220.96,2
04:0c:ce:1b:39:6c,10.173.220.123,2
04:0c:ce:1b:43:12,10.144.221.88,2
c4:d9:87:c2:6a:fa,10.145.219.149,5
c8:bc:c8:bf:c2:68,10.125.221.247,2
00:11:0a:f0:40:b0,10.192.79.6,5
00:19:d1:e8:ad:75,10.192.112.217,5
10:9a:dd:5a:09:35,10.191.125.37,3
a8:bb:cf:21:97:f2,10.191.214.230,8
04:0c:ce:1b:4a:86,10.145.221.206,2
00:23:12:25:60:37,10.126.223.96,2
00:11:0a:c3:2f:7b,10.192.79.29,5
00:10:49:1c:25:8b,10.192.239.166,5
04:0c:ce:1b:40:28,10.110.223.10,2
00:23:12:25:66:45,10.143.221.49,2
c8:bc:c8:b8:74:d3,10.106.220.254,2
44:2a:60:db:a9:bb,10.173.222.178,2
4c:b1:99:26:29:39,10.191.223.31,6
00:10:49:1a:4b:25,10.192.239.200,5
6c:f3:7f:ca:31:0e,10.192.125.250,5
00:10:49:17:98:0e,10.191.239.225,5
00:23:12:25:48:9f,10.119.221.73,2
00:10:49:1c:28:27,10.192.239.156,5
00:10:49:1a:4b:7c,10.192.239.160,5
c8:2a:14:0f:17:09,10.173.126.112,2
00:11:0a:c8:0d:e5,10.192.79.16,5
00:10:49:17:8c:2f,10.191.239.217,5
00:23:12:25:66:2f,10.113.223.226,2
44:2a:60:dc:ee:23,10.173.223.51,2
2c:76:8a:04:70:72,10.192.79.4,5
00:23:12:25:48:4e,10.109.221.167,2
00:10:49:1c:28:32,10.192.239.158,5
90:68:c3:52:c9:97,10.192.198.231,5
04:0c:ce:1b:43:93,10.122.223.70,2
04:0c:ce:1b:3b:b3,10.147.221.101,2
00:10:49:17:88:c2,10.191.239.226,5
04:0c:ce:1b:3b:0f,10.126.222.5,2
00:10:49:16:d1:ec,10.191.239.175,5
00:10:49:16:d1:e8,10.191.239.91,5
00:23:12:25:49:aa,10.105.199.4,2
a8:bb:cf:21:ac:94,10.191.214.249,5
04:0c:ce:1b:47:31,10.144.220.44,2
00:10:49:17:8a:54,10.2.228.138,5
04:0c:ce:1b:3d:f5,10.142.222.81,2
00:10:49:17:8a:e6,10.191.239.94,5
10:9a:dd:af:ec:91,10.122.223.189,2
00:10:49:17:8a:81,10.191.239.131,5
00:23:12:25:66:5b,10.171.206.61,1
00:23:12:25:5e:fc,10.145.219.241,1
04:0c:ce:1b:3b:4c,10.173.178.154,1
00:23:24:26:74:c6,10.191.127.216,5
6c:f3:7f:ca:30:f6,10.191.126.152,5
6c:f3:7f:ca:30:bd,10.191.126.153,5
00:23:24:26:74:d0,10.191.127.187,6
00:10:49:1a:4a:51,10.191.239.180,5
a0:d3:c1:bc:99:c0,10.191.171.227,5
c8:2a:14:0f:26:49,10.103.126.245,1
44:2a:60:db:a9:31,10.103.221.172,1
00:26:08:37:44:d8,10.191.190.186,5
04:0c:ce:1b:49:7a,10.142.222.91,1
00:10:49:1b:d0:34,10.191.239.66,5
00:23:12:25:41:3d,10.119.221.62,1
6c:f3:7f:ca:30:c2,10.191.126.148,5
00:21:e9:e7:26:40,10.145.219.240,1
00:10:49:17:8a:a1,10.191.239.147,5
04:0c:ce:1b:4f:de,10.142.219.221,1
04:0c:ce:1b:39:f2,10.146.222.146,1
04:0c:ce:1b:45:79,10.143.222.48,2
6c:f3:7f:ca:30:a3,10.192.125.252,5
00:10:49:1c:26:cf,10.191.239.126,5
00:23:12:25:3d:79,10.171.221.224,1
00:10:49:17:8b:5d,10.191.239.154,5
00:10:49:17:8a:88,10.191.239.143,5
00:23:12:25:4a:45,10.145.219.225,1
04:0c:ce:1b:46:f4,10.147.221.104,1
00:11:0a:ef:37:a1,10.191.79.5,5
04:0c:ce:1b:48:1f,10.142.221.196,1
04:0c:ce:1b:45:11,10.173.220.98,1
00:10:49:1b:db:9b,10.191.239.220,5
00:10:49:1b:cf:c9,10.191.239.178,5
d8:c7:c8:c1:ac:52,10.191.127.246,5
00:10:49:17:8a:6f,10.191.239.141,5
00:10:49:18:cd:77,10.191.239.120,5
00:24:81:93:c5:0a,10.191.122.29,5
00:10:49:17:8a:f1,10.191.239.238,5
04:0c:ce:1b:4b:88,10.113.222.185,1
00:10:49:1b:d0:5d,10.191.239.41,5
00:23:12:25:60:27,10.173.214.242,1
04:0c:ce:1b:38:6f,10.126.222.11,2
00:10:49:1a:47:9b,10.191.239.110,5
04:0c:ce:1b:3c:54,10.126.221.162,1
c8:f6:50:a1:f2:37,10.120.220.200,6
6c:f3:7f:ca:31:25,10.192.125.246,5
00:10:49:17:8b:66,10.191.239.190,5
00:10:49:1c:25:34,10.192.239.192,5
00:10:49:1c:28:38,10.192.109.61,5
00:10:49:17:8a:09,10.191.239.67,5
6c:f3:7f:ca:66:93,10.191.104.252,5
00:10:49:0d:41:53,10.191.239.173,4
00:10:49:1c:28:31,10.192.239.218,4
00:23:12:25:44:b5,10.124.222.27,1
e0:66:78:63:87:6a,10.191.180.185,5
00:10:49:1c:25:9f,10.191.239.196,4
6c:f3:7f:ca:30:c5,10.191.126.150,4
6c:f3:7f:ca:30:b8,10.191.126.141,4
00:25:4b:8e:a8:5a,10.145.219.224,1
00:10:49:17:8a:f3,10.191.239.212,4
04:0c:ce:1b:42:91,10.113.222.232,5
0c:4d:e9:9e:ff:3f,10.2.226.172,2
04:0c:ce:1b:3b:5c,10.146.222.205,15
c8:f6:50:a7:07:93,10.123.220.177,14
00:23:12:25:4a:d1,10.104.222.189,1
04:0c:ce:1b:45:18,10.146.222.121,2
00:10:49:1c:28:3c,10.192.239.181,4
00:10:49:17:8a:71,10.191.239.71,4
00:23:24:26:74:5c,10.191.127.226,9
00:10:49:1c:25:93,10.191.239.205,4
04:0c:ce:1b:3d:3c,10.144.222.14,2
04:0c:ce:1b:46:26,10.192.222.175,3
00:10:49:1a:4a:57,10.191.239.156,4
00:10:49:1c:28:25,10.192.239.249,4
00:10:49:1c:25:d1,10.192.239.179,4
00:10:49:17:8b:65,10.191.239.221,4
00:10:49:14:5d:b1,10.191.239.70,4
6c:f3:7f:ca:30:ff,10.191.126.156,4
00:10:49:17:8a:e8,10.191.239.254,4
00:10:49:17:97:d4,10.191.239.202,4
64:76:ba:c2:ca:32,10.171.135.90,5
00:10:49:1b:d5:3a,10.192.239.188,4
00:10:49:1a:47:bf,10.191.239.122,4
6c:f3:7f:ca:30:f9,10.192.125.238,4
00:10:49:17:8b:71,10.191.239.81,4
00:10:49:1b:d5:90,10.192.122.187,4
00:10:49:16:d1:86,10.191.239.89,4
00:10:49:1b:d4:fe,10.192.239.254,4
04:0c:ce:1b:43:d7,10.173.220.122,2
00:24:6c:c2:9e:00,10.191.127.243,4
6c:f3:7f:ca:30:99,10.192.125.255,4
04:0c:ce:1b:48:ca,10.142.222.33,1
04:0c:ce:1b:41:65,10.126.222.20,1
c8:2a:14:0e:1b:79,10.171.98.71,1
04:0c:ce:1b:49:7d,10.110.223.6,1
64:31:50:27:be:36,10.191.127.194,4
44:2a:60:dc:d9:7a,10.171.216.128,1
04:0c:ce:1b:39:df,10.171.219.107,1
04:0c:ce:92:e8:87,10.191.149.176,4
04:0c:ce:1b:44:45,10.173.220.89,3
04:0c:ce:1b:3d:0a,10.143.221.141,1
80:00:0b:32:f7:e4,10.145.219.152,5
04:0c:ce:1b:3f:05,10.173.220.64,1
00:22:41:fb:b9:45,10.143.223.83,1
04:0c:ce:1b:3d:49,10.111.223.44,1
10:9a:dd:5b:ed:d6,10.173.123.201,1
c8:bc:c8:c7:f5:5e,10.173.222.179,1
04:0c:ce:1b:3e:0d,10.173.220.93,1
04:0c:ce:1b:3f:d1,10.173.220.99,1
04:0c:ce:1b:44:52,10.101.223.73,2
04:0c:ce:1b:44:64,10.111.223.82,1
04:0c:ce:1b:39:9f,10.126.221.206,2
c8:bc:c8:bf:be:c0,10.147.218.158,1
04:0c:ce:1b:4a:89,10.172.220.156,1
78:3a:84:c6:52:55,10.113.220.177,2
c8:f6:50:cc:03:b9,10.142.219.215,1
04:0c:ce:1b:41:62,10.126.221.211,1
00:23:32:9e:df:12,10.132.127.241,3
00:23:12:25:60:3f,10.191.189.123,3
04:0c:ce:1b:49:7c,10.147.221.102,1
04:0c:ce:1b:3d:42,10.126.221.230,1
c8:f6:50:d6:de:a0,10.125.222.63,3
04:0c:ce:1b:43:b5,10.173.220.94,5
04:0c:ce:1b:44:19,10.126.222.1,1
00:23:12:25:66:1f,10.115.221.10,1
00:23:12:25:39:5a,10.126.223.87,1
04:0c:ce:1b:44:d3,10.147.221.95,1
04:0c:ce:1b:46:17,10.124.223.92,1
04:0c:ce:1b:3c:19,10.124.223.108,1
10:9a:dd:af:ff:2d,10.106.223.246,1
04:0c:ce:1b:44:3b,10.147.221.94,1
04:0c:ce:1b:49:56,10.114.223.36,1
c8:bc:c8:b8:8e:5b,10.119.221.0,1
04:0c:ce:1b:45:61,10.173.220.79,1
d8:30:62:64:7c:90,10.146.223.229,1
00:23:12:25:60:4e,10.125.222.10,1
00:23:12:25:37:0e,10.126.223.93,1
04:0c:ce:1b:3c:9c,10.126.222.23,1
00:23:32:9e:e1:1f,10.171.96.247,1
00:25:4b:8e:00:ef,10.143.223.89,1
00:23:12:25:65:78,10.142.220.30,1
04:0c:ce:1b:3a:36,10.114.223.39,1
00:23:12:25:3e:a1,10.171.206.54,1
d8:30:62:5e:cb:9d,10.146.223.231,1
04:0c:ce:1b:46:dc,10.126.221.210,1
04:0c:ce:1b:2a:a4,10.173.220.92,1
78:fd:94:3d:66:19,10.105.199.86,3
04:0c:ce:1b:41:d3,10.147.221.100,1
04:0c:ce:1b:40:07,10.173.220.171,1
04:0c:ce:1b:4b:08,10.125.223.59,1
00:10:49:1d:df:cd,10.192.239.240,4
c8:f6:50:a1:a4:80,10.120.220.183,4
00:23:12:25:49:29,10.143.223.100,1
00:10:49:16:d1:49,10.191.239.184,4
00:10:49:17:8b:0b,10.191.239.113,4
00:10:49:1c:25:da,10.191.239.85,4
c8:bc:c8:bf:42:14,10.147.222.31,1
00:23:12:25:39:95,10.172.217.125,1
00:23:12:25:66:13,10.144.219.91,1
00:23:12:25:3b:b3,10.123.221.29,1
00:10:49:1c:25:90,10.191.239.251,4
04:0c:ce:1b:3f:28,10.126.222.16,1
04:0c:ce:1b:44:12,10.113.222.187,2
6c:f3:7f:ca:31:08,10.191.126.147,4
4c:b1:99:17:22:ab,10.191.221.106,4
00:10:49:1c:27:5e,10.192.239.239,4
04:0c:ce:1b:3e:ee,10.145.222.96,1
6c:f3:7f:ca:31:04,10.191.126.145,4
00:10:49:1c:25:81,10.191.239.153,4
04:0c:ce:1b:40:72,10.122.223.58,2
00:23:12:25:60:23,10.106.223.97,1
00:10:49:29:57:d9,10.191.239.111,4
00:10:49:1a:4a:5a,10.191.239.90,4
10:9a:dd:52:69:c7,10.173.126.96,1
04:0c:ce:1b:4b:76,10.115.222.170,1
2c:f0:ee:95:63:f3,10.171.206.233,10
c8:bc:c8:c0:9f:1c,10.106.221.4,1
04:0c:ce:1b:4a:e6,10.145.222.121,1
04:0c:ce:1b:46:d5,10.110.222.242,1
e0:66:78:61:2c:40,10.191.180.184,5
04:0c:ce:1b:46:dd,10.126.221.219,1
04:0c:ce:1b:44:ff,10.173.220.174,1
00:26:bb:20:28:3e,10.191.155.146,4
e0:66:78:88:f0:55,10.191.179.168,4
10:9a:dd:af:f1:ed,10.120.223.23,1
c8:bc:c8:bf:af:89,10.119.220.254,1
00:23:32:86:f3:73,10.191.176.246,3
00:1a:4b:2f:af:c5,10.191.79.2,4
d4:c9:ef:ff:77:f6,10.191.79.37,4
04:0c:ce:1b:46:b1,10.113.222.181,1
00:23:12:25:4a:b0,10.143.223.94,1
0c:12:62:71:69:9e,10.171.132.183,2
00:0c:29:ea:8d:84,10.1.245.200,3
00:23:12:25:48:63,10.171.206.63,1
80:1f:02:5c:4d:42,10.191.179.93,5
2c:f0:ee:21:e8:88,10.124.222.67,2
2c:f0:ee:1e:94:32,10.124.222.17,3
04:0c:ce:1b:3b:53,10.173.220.75,1
2c:f0:ee:1e:97:da,10.124.222.37,2
2c:f0:ee:1e:6d:70,10.124.222.66,2
2c:f0:ee:21:dc:d6,10.124.222.69,2
00:23:12:25:4a:23,10.172.217.120,1
2c:f0:ee:21:a4:f8,10.124.222.38,2
c8:bc:c8:bc:32:19,10.147.222.28,2
00:22:41:fb:b8:81,10.119.221.61,1
04:0c:ce:1b:3f:b0,10.104.223.56,3
2c:f0:ee:1d:6e:76,10.101.222.6,1
2c:f0:ee:1e:79:80,10.101.222.7,1
00:0e:7f:e8:ed:cf,10.191.79.53,4
c8:bc:c8:bf:7f:b9,10.173.215.193,1
04:0c:ce:1b:42:3e,10.114.223.46,1
2c:44:fd:08:b6:c2,10.2.79.5,4
04:0c:ce:1b:42:16,10.110.222.255,1
88:51:fb:e9:bc:54,10.191.79.43,4
04:0c:ce:1b:39:bb,10.173.220.87,1
c8:bc:c8:bf:42:f9,10.191.223.249,8
00:10:49:1a:46:d3,10.192.239.173,4
04:0c:ce:1b:3f:a0,10.145.222.4,2
00:23:12:25:49:61,10.123.221.39,1
00:10:49:1b:db:ab,10.191.239.160,4
6c:f3:7f:ca:31:7f,10.191.125.26,4
00:10:49:17:94:b7,10.191.239.19,4
00:0f:1f:e0:5e:a1,10.2.240.144,4
00:10:49:1b:db:a9,10.191.239.227,4
00:10:49:17:8b:08,10.191.239.185,4
04:0c:ce:1b:43:35,10.119.222.213,1
04:0c:ce:1b:3d:1c,10.142.222.92,1
04:0c:ce:1b:48:ff,10.145.221.207,1
c8:bc:c8:c0:9f:ce,10.143.221.113,1
04:0c:ce:1b:44:6d,10.143.221.145,1
04:0c:ce:1b:44:3d,10.145.222.2,4
04:0c:ce:1b:4b:c1,10.142.221.195,1
00:c0:df:1c:b0:f7,10.191.156.43,5
04:0c:ce:1b:44:39,10.142.222.179,2
6c:f3:7f:ca:31:12,10.192.125.245,4
78:3a:84:c4:d5:a4,10.192.197.191,4
04:0c:ce:1b:3b:fe,10.106.223.24,1
00:10:49:1a:4b:e2,10.192.239.207,4
